,LAT,LON,SITE_NAME,YEAR_OBS,MONSOON,POSTMONSOONKHARIF,POSTMONSOONRABI,PREMONSOON
192,28.60416667,77.175,Mahabir Vansth.,2006,21.55,22.8,21.84,23.03
193,28.60611111,77.21,Nehru Park,2006,21.74,23.14,20.11,22.74
194,28.59027778,77.2125,Safdarganj Tomb,2006,17.85,12.37,16.84,14.62
195,28.59027778,77.21638889,Lodhi Garden (D)-1,2006,9.76,9.31,9.41,10.28
196,28.61166667,77.19944444,Presidents Estate-1,2006,14.12,16.55,15.38,16.01
197,28.63611111,77.20277778,Cannaught place,2005,12.674181034482759,12.801999999999998,13.6,13.93764044943821
198,28.59666667,77.21666667,Aurangzeb Lane RWH,2005,12.674181034482759,11.71,12.725819672131147,13.93764044943821
199,28.6125,77.225,India Gate,2005,4.59,3.57,12.725819672131147,13.93764044943821
200,28.61722222,77.2,Presidents Estate-2,2005,8.83,8.95,8.6,9.13
201,28.62416667,77.20138889,Talkatora,2005,16.92,17.1,15.4,15.1
202,28.59027778,77.18416667,Shanti Path,2005,22.69,22.73,22.4,21.57
203,28.62916667,77.2375,Parsi Dharamsala,2005,6.71,6.89,7.1,6.45
204,28.61472222,77.21194444,Shram Shakti Bhawan-1,2005,14.03,13.27,15.15,14.28
205,28.615,77.21222222,Shram Shakti Bhawan-2,2005,13.46,12.7,14.85,13.48
206,28.61527778,77.2125,Shram Shakti Bhawan-3,2005,16.4,15.08,15.4,15.62
207,28.61666667,77.21388889,Rail Bhavan,2005,10.52,9.04,12.09,11.29
208,28.63194444,77.19861111,Birla Mandir,2005,9.32,9.7,8.95,9.5
209,28.63277778,77.19583333,Mandir Lane Pz,2005,8.9,9.55,8.8,9.5
210,28.60138889,77.225,South Block,2005,14.87,14.75,12.725819672131147,14.8
211,28.60416667,77.175,Mahabir Vansth.,2005,21.82,21.71,22.5,22.05
212,28.60611111,77.21,Nehru Park,2005,22.96,21.13,22.54,21.34
213,28.59027778,77.2125,Safdarganj Tomb,2005,20.45,17.41,16.3,19.9
214,28.59027778,77.21638889,Lodhi Garden (D)-1,2005,12.674181034482759,9.15,8.4,8.53
215,28.59166667,77.22055556,Lodhi Graden Dw,2005,9.94,12.801999999999998,11.5,11.16
216,28.61166667,77.19944444,Presidents Estate-1,2005,14.84,14.9,14.85,15.39
217,28.6125,77.225,India Gate,2004,12.674181034482759,4.71,3.82,5.1
218,28.59027778,77.18416667,Shanti Path,2004,23.07,21.17,18.17,20.75
219,28.62916667,77.2375,Parsi Dharamsala,2004,5.94,5.9,5.65,6.03
220,28.59027778,77.2125,Safdarganj Tomb,2004,11.11,17.21,9.8,14.33
221,28.63194444,77.19861111,Birla Mandir,2004,13.3,2.71,6.35,13.52
222,28.60138889,77.225,South Block,2004,14.15,14.8,12.725819672131147,14.67
223,28.60416667,77.175,Mahabir Vansth.,2004,21.45,21.47,21.1,21.86
224,28.61666667,77.21388889,Rail Bhavan,2004,12.674181034482759,12.801999999999998,12.725819672131147,12.99
225,28.6125,77.225,India Gate,2003,2.91,3.84,4.16,4.8
226,28.59027778,77.18416667,Shanti Path,2003,21.54,20.77,21.47,23.26
227,28.62916667,77.2375,Parsi Dharamsala,2003,5.55,5.43,6.1,6.54
228,28.61666667,77.21388889,Rail Bhavan,2003,7.69,11.7,7.69,9.34
229,28.59027778,77.2125,Safdarganj Tomb,2003,9.25,11.0,10.2,11.24
230,28.60138889,77.225,South Block,2003,13.19,13.15,12.3,13.58
231,28.60416667,77.175,Mahabir Vansth.,2003,22.9,21.55,23.75,24.77
232,28.60611111,77.21,Nehru Park,2003,18.24,22.34,23.34,22.95
233,28.63194444,77.19861111,Birla Mandir,2003,1.99,4.8,8.8,13.29
234,28.6125,77.225,India Gate,2002,5.14,4.59,4.19,4.89
235,28.59027778,77.18416667,Shanti Path,2002,21.56,21.37,20.47,21.02
236,28.62916667,77.2375,Parsi Dharamsala,2002,6.0,6.05,5.6,6.0
237,28.59027778,77.2125,Safdarganj Tomb,2002,18.15,18.75,9.65,16.35
238,28.63194444,77.19861111,Birla Mandir,2002,14.21,14.48,10.91,14.86
239,28.60138889,77.225,South Block,2002,13.9,13.2,12.8,13.93764044943821
240,28.60611111,77.21,Nehru Park,2002,22.04,21.74,19.34,19.79
241,28.61666667,77.21388889,Rail Bhavan,2002,7.88,7.29,12.725819672131147,6.35
242,28.6125,77.225,India Gate,2001,3.74,4.89,4.81,4.18
243,28.59027778,77.18416667,Shanti Path,2001,20.62,20.67,19.92,20.32
244,28.62916667,77.2375,Parsi Dharamsala,2001,5.3,5.44,5.85,5.45
245,28.59027778,77.2125,Safdarganj Tomb,2001,9.92,11.85,15.7,15.05
246,28.63194444,77.19861111,Birla Mandir,2001,9.17,11.81,8.06,11.71
247,28.60138889,77.225,South Block,2001,12.23,12.6,11.3,12.6
248,28.60611111,77.21,Nehru Park,2001,18.16,19.34,17.44,19.84
249,28.61666667,77.21388889,Rail Bhavan,2001,5.67,6.45,5.55,6.4
250,28.6125,77.225,India Gate,2000,3.36,3.97,3.97,4.39
251,28.59027778,77.18416667,Shanti Path,2000,20.76,20.13,19.27,19.57
